0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
-209.77565002441406,131.28067016601562,-82.91072082519531,-28.40389633178711,-25.68551254272461,-37.649444580078125,-13.199572563171387,-3.727893829345703,-23.70883560180664,-7.9255218505859375,6.1870832443237305,-18.37684440612793,-13.645773887634277,1274.0948865579082,0.07885265557212581,A
-183.16058349609375,118.28168487548828,-87.81635284423828,-15.627867698669434,-23.083782196044922,-25.053491592407227,-8.083171844482422,-8.270305633544922,-23.842784881591797,-17.246593475341797,1.272469401359558,-10.567813873291016,-15.108559608459473,1372.1103848390944,0.08179061858316222,A
-169.4415283203125,90.5923843383789,-71.4170913696289,-6.107722759246826,-42.037208557128906,-21.494571685791016,-19.00776481628418,12.75319766998291,11.009772300720215,0.039746589958667755,-19.931203842163086,-17.720123291015625,6.032381057739258,1520.8362261233676,0.08702303513948498,A
-154.80523681640625,98.85956573486328,-80.19499206542969,-15.93280029296875,-38.390357971191406,-15.578453063964844,-17.219907760620117,3.2287609577178955,-4.492743015289307,2.0923454761505127,-0.4854450821876526,-13.645447731018066,-2.5458972454071045,1545.7557173617301,0.09278098268487858,A
-91.94551086425781,102.73320770263672,-83.931640625,13.681570053100586,-39.77310562133789,-3.7689859867095947,-23.878047943115234,2.8979320526123047,-9.114266395568848,-0.11880908906459808,0.6995978355407715,-10.735751152038574,-0.6621294617652893,1685.8494947310444,0.10098519509668508,A
-134.01722717285156,90.08325958251953,-80.3963394165039,0.6514520049095154,-45.77451705932617,-2.675555467605591,-3.807492733001709,1.3897182941436768,-16.813722610473633,0.14517588913440704,-1.2440307140350342,-20.709558486938477,-2.091764211654663,1700.118843195473,0.09089511303191489,A
-313.1517028808594,126.96785736083984,-39.119346618652344,-30.755916595458984,-4.195737838745117,-16.2982177734375,-36.612342834472656,-39.76255416870117,-12.245832443237305,-5.559243679046631,-18.626672744750977,-13.597712516784668,-5.669393539428711,934.9079510357004,0.06320357825685655,A
-294.9383850097656,131.8592987060547,-33.46275329589844,-16.428144454956055,-7.918341159820557,-19.32344627380371,-21.727529525756836,-28.071483612060547,-17.009437561035156,-14.667089462280273,-21.841644287109375,-12.444219589233398,-12.946029663085938,912.4988734290027,0.05511294336761603,A
-308.80975341796875,137.456298828125,-34.56356430053711,-11.830720901489258,-6.984735012054443,-18.476869583129883,-16.1417236328125,-26.080907821655273,-17.38724136352539,-10.570661544799805,-22.13773536682129,-19.262432098388672,-15.933796882629395,902.2271588086902,0.05015086501641138,A
-307.4226989746094,138.2333526611328,-40.61191177368164,-4.654199600219727,-9.430461883544922,-32.11100769042969,-20.677488327026367,-29.960472106933594,-20.041215896606445,-4.312285423278809,-13.163509368896484,-13.261058807373047,-8.284845352172852,963.5510941963715,0.05350418778153153,A
-292.2242431640625,145.11749267578125,-39.9422721862793,-6.781757354736328,-1.2262784242630005,-23.862375259399414,-19.073816299438477,-24.589580535888672,-18.164766311645508,-8.652437210083008,-14.851325035095215,-10.498970031738281,-6.3690266609191895,906.5034684103966,0.05093457943925234,A
